,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,NUM_BO,ANO_BO,DATA_REGISTRO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRICAO,NOME_DEPARTAMENTO_CIRCUNSCRICAO,NOME_SECCIONAL_CIRCUNSCRICAO,NOME_MUNICIPIO_CIRCUNSCRICAO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA
80844,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,PIRACICABA,AA0271,2025,2025-01-01,2024-12-31,,A noite,Outros,Outros,CENTRO,RUA PRUDENTE DE MORAES,325.0,-22.7217511,-47.6518417,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80847,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AC7331,2025,2025-01-03,2024-12-24,10:30:51,,Condomínio Comercial,Lojas,CENTRO,RUA GOVERNADOR PEDRO DE TOLÊDO,1206.0,-22.7306639679999,-47.650530745,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Estabelecimento Comercial,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80848,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AC9860,2025,2025-01-03,2024-12-30,,A tarde,Via Pública,Via Pública,CENTRO,RUA GOVERNADOR PEDRO DE TOLEDO,1.0,-22.7281313,-47.6491172,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80850,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,AE9136,2025,2025-01-06,2024-11-20,,Em hora incerta,Via Pública,Via Pública,CENTRO,RUA JOAQUIM ANDRÉ,796.0,-22.734363894,-47.655983953,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80852,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,PIRACICABA,AF8923,2025,2025-01-06,2024-12-01,11:00:00,,Via Pública,Via Pública,CENTRO,RUA SÃO FRANCISCO DE ASSIS,663.0,-22.7342166956,-47.6541682722,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80853,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AG1421,2025,2025-01-06,2025-01-06,17:00:00,,Via Pública,Via Pública,CENTRO,RUA RIACHUELO,871.0,-22.7322601179999,-47.649426058,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80855,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AG9827,2025,2025-01-07,2025-01-07,10:29:37,,Estabelecimento Bancário,Agência,CENTRO,RUA PRAÇA JOSÉ BONIFÁCIO,0.0,-22.7245574,-47.6484682,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Interior Estabelecimento,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80856,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,AH4315,2025,2025-01-07,2025-01-04,,A noite,Comércio e Serviços,Mercado,CENTRO,RUA REGENTE FEIJÓ,823.0,-22.7219728,-47.6462089,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Interior Estabelecimento,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80863,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AL4094,2025,2025-01-10,2025-01-09,17:00:49,,Comércio e Serviços,Mercado,CENTRO,RUA RANGEL PESTANA,1039.0,-22.725508351,-47.6547523739999,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80864,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AL6084,2025,2025-01-10,2025-01-10,,De madrugada,Via Pública,Praça,CENTRO,RUA PRAÇA JOSÉ BONIFÁCIO,1.0,-22.7245574,-47.6484682,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80865,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,PIRACICABA,AL7142,2025,2025-01-10,2025-01-08,15:30:00,,Condomínio Comercial,Lojas,CENTRO,RUA GOVERNADOR PEDRO DE TOLEDO,1323.0,-22.7287302,-47.6493212,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80868,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AN1937,2025,2025-01-11,2025-01-11,11:00:17,,Comércio e Serviços,Roupas,CENTRO,RUA GOVERNADOR PEDRO DE TOLEDO,931.0,-22.7281313,-47.6491172,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Condomínio Comercial,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80872,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AR9818,2025,2025-01-15,2025-01-14,14:00:57,,Via Pública,Praça,CENTRO,PRAÇA DA CATEDRAL,921.0,-22.725038605,-47.6488502569999,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80873,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AS9524,2025,2025-01-15,2024-12-30,12:17:43,,Via Pública,Via Pública,CENTRO,RUA SÃO JOSÉ,821.0,-22.7235279,-47.6511397,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80875,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,PIRACICABA,AV8361,2025,2025-01-17,2025-01-16,11:05:00,,Via Pública,Via Pública,CENTRO,RUA BOA MORTE,1469.0,-22.72551199,-47.649911098,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80876,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AW7362,2025,2025-01-18,2025-01-18,10:07:00,,Condomínio Comercial,Lojas,CENTRO,RUA GOVERNADOR PEDRO DE TOLEDO,1206.0,-22.7250315,-47.6477468,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Estabelecimento Comercial,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80878,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AY9043,2025,2025-01-20,2025-01-20,12:00:23,,Shopping Center,Agência Bancária,CENTRO,RUA BOA MORTE,936.0,-22.7315069549999,-47.653181285,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80879,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AZ2861,2025,2025-01-20,2025-01-20,13:57:35,,Via Pública,Via Pública,CENTRO,RUA DOM PEDRO II,841.0,-22.7278989,-47.6507201,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80884,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,BC6077,2025,2025-01-22,2025-01-22,15:00:18,,Estabelecimento Bancário,Agência,CENTRO,RUA SÃO JOSÉ,667.0,-22.7235279,-47.6511397,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Estabelecimento-Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80887,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,05º D.P. PIRACICABA,PIRACICABA,BH6581,2025,2025-01-27,2025-01-25,,Pela manhã,Centro Comercial/Empresarial,Área Comum,SÃO DIMAS,AVENIDA TORQUATO DA SILVA LEITÃO,520.0,-22.7122393,-47.6471477,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Interior Estabelecimento,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80889,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,PIRACICABA,BK3076,2025,2025-01-28,2025-01-25,,De madrugada,Via Pública,Via Pública,CENTRO,RUA BOA MORTE,650.0,-22.7237672,-47.6488559,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80893,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,BM2055,2025,2025-01-29,2025-01-29,11:30:00,,Via Pública,Praça,CENTRO,PRAÇA DA CATEDRAL,1200.0,-22.725038605,-47.6488502569999,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80894,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,PIRACICABA,BM2824,2025,2025-01-29,2024-12-07,,Pela manhã,Via Pública,Via Pública,CENTRO,RUA GOVERNADOR PEDRO DE TOLEDO,988.0,-22.7258864,-47.6481013,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Outros,FURTO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80898,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AE3379,2025,2025-01-05,2025-01-05,16:20:00,,Via Pública,Via Pública,CENTRO,RUA PROFESSOR LUIZ CURIACOS,216.0,-22.7157257,-47.6463443,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80901,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,PIRACICABA,AX1920,2025,2025-01-19,2025-01-18,20:56:00,,Via Pública,Via Pública,CENTRO,RUA ANTÔNIO CORRÊA BARBOSA,889.0,-22.7220672,-47.654293,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80902,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AZ1150,2025,2025-01-20,2025-01-01,23:06:00,,Via Pública,Via Pública,CENTRO,RUA ANTÔNIO CORRÊA BARBOSA,100.0,-22.721410321,-47.6542453,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80903,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.POL.SALTINHO,PIRACICABA,BI3526,2025,2025-01-27,2025-01-24,08:30:34,,Via Pública,Via Pública,MONTE ALEGRE,AVENIDA COMENDADOR PEDRO MORGANTI,0.0,-22.7037743,-47.592987,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80904,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,BK7833,2025,2025-01-28,2025-01-28,,Em hora incerta,Estacionamento/Garagem,Estacionamento público,CENTRO,RUA FLORINDO ROMANI,0.0,-22.7292236,-47.6642052,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Furto (art. 155),Veículo,FURTO DE VEÍCULO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80906,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,3ªHOMICIDIOS-DEIC-DEINTER 9,PIRACICABA,BC9490,2025,2025-01-22,2025-01-22,15:35:00,,Saúde,Clínica,Centro,Avenida Independência,45.0,-22.734259,-47.651592,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Homicídio (art. 121),,HOMICÍDIO DOLOSO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80907,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,04º D.P. PIRACICABA,PIRACICABA,AC3812,2025,2025-01-03,2025-01-03,07:20:00,,Via Pública,Via Pública,SÃO DIMAS,AVENIDA CENTENÁRIO,0.0,-22.7105237,-47.6397625,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80908,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AJ0365,2025,2025-01-08,2024-12-10,07:46:00,,Via Pública,Via Pública,SÃO DIMAS,AVENIDA CENTENÁRIO,564.0,-22.7110171539999,-47.640196693,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80909,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AJ1611,2025,2025-01-08,2024-12-03,06:45:00,,Via Pública,Via Pública,PAULISTA,AVENIDA DOUTOR PAULO DE MORAES,1111.0,-22.7348108,-47.6561152,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80910,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AJ1616,2025,2025-01-08,2024-12-02,18:53:04,,Via Pública,Via Pública,SÃO DIMAS,AVENIDA TORQUATO DA SILVA LEITÃO,770.0,-22.7122393,-47.6471477,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80911,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AJ8375,2025,2025-01-09,2024-12-20,20:26:11,,Via Pública,Via Pública,CENTRO,RUA ANTÔNIO CORRÊA BARBOSA,2233.0,-22.721410321,-47.6542453,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80912,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AJ8946,2025,2025-01-09,2024-12-21,13:06:05,,Via Pública,Via Pública,CENTRO,RUA TREZE DE MAIO,725.0,-22.7225195,-47.6497462,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80913,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AK0696,2025,2025-01-09,2024-12-02,13:50:23,,Via Pública,Via Pública,CENTRO,RUA BOA MORTE,1504.0,-22.7315069549999,-47.653181285,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80914,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AK1207,2025,2025-01-09,2024-12-03,15:58:17,,Via Pública,Via Pública,CENTRO,RUA QUINZE DE NOVEMBRO,1.0,-22.7264213,-47.6492543,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80915,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AK4944,2025,2025-01-09,2024-12-09,14:00:00,,Via Pública,Via Pública,CENTRO,RUA BOA MORTE,1.0,-22.7315069549999,-47.653181285,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80916,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AK5477,2025,2025-01-09,2024-12-17,08:45:00,,Via Pública,Via Pública,CENTRO,RUA BENJAMIN CONSTANT,1624.0,-22.7275976949999,-47.6479281009999,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80917,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AR0145,2025,2025-01-14,2023-12-26,08:56:25,,Via Pública,Via Pública,CIDADE JARDIM,AVENIDA BRASIL,991.0,-22.7197984,-47.6429802,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80918,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AR0646,2025,2025-01-14,2023-12-28,16:28:15,,Via Pública,Via Pública,PAULISTA,AVENIDA DOUTOR PAULO DE MORAES,266.0,-22.7348108,-47.6561152,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80921,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,BF3205,2025,2025-01-24,2025-01-22,,Em hora incerta,Via Pública,Via Pública,SÃO DIMAS,AVENIDA DUQUE DE CAXIAS,0.0,-22.7145983,-47.6388105,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal culposa na direção de veículo automotor (Art. 303),,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,2025,CPI-9,10ºBPM/I,4ªCIA
80925,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AK1166,2025,2025-01-09,2025-01-09,10:10:20,,Comércio e Serviços,Posto de Gasolina,CENTRO,RUA PRUDENTE DE MORAES,882.0,-22.7204676,-47.6548993,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,1,2025,CPI-9,10ºBPM/I,4ªCIA
80926,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AT3793,2025,2025-01-15,2025-01-15,09:30:00,,Outros,Outros,CENTRO,RUA BENJAMIN CONSTANT,1450.0,-22.7301688,-47.6491686,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,1,2025,CPI-9,10ºBPM/I,4ªCIA
80927,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AX7205,2025,2025-01-19,2025-01-19,17:28:57,,Via Pública,Via Pública,CENTRO,AVENIDA BEIRA RIO,1345.0,-22.7236977,-47.6563844,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Lesão corporal (art. 129),,LESÃO CORPORAL DOLOSA,1,2025,CPI-9,10ºBPM/I,4ªCIA
80929,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,AB9044,2025,2025-01-03,2024-12-31,23:30:48,,Via Pública,Via Pública,PARQUE DA RUA DO PORTO,RUA DO PORTO,0.0,-22.7261972869999,-47.666504136,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Transeunte,ROUBO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80932,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,01º D.P. PIRACICABA,PIRACICABA,AP2669,2025,2025-01-13,2025-01-13,05:00:25,,Via Pública,Via Pública,CENTRO,RUA DO ROSÁRIO,1482.0,-22.727314091,-47.653198935,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Transeunte,ROUBO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80933,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,02º D.P. PIRACICABA,PIRACICABA,AV2308,2025,2025-01-17,2024-12-30,23:30:49,,Via Pública,Via Pública,SÃO DIMAS,RUA BARÃO DE PIRACICAMIRIM,0.0,-22.7121872,-47.6406569,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Outros,ROUBO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80935,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,BH2967,2025,2025-01-27,2025-01-27,00:35:00,,Via Pública,Via Pública,CENTRO,AVENIDA BEIRA RIO,0.0,-22.7236977,-47.6563844,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,Roubo (art. 157),Transeunte,ROUBO - OUTROS,1,2025,CPI-9,10ºBPM/I,4ªCIA
80938,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AG1421,2025,2025-01-06,2025-01-06,17:00:00,,Via Pública,Via Pública,CENTRO,RUA RIACHUELO,871.0,-22.7322601179999,-47.649426058,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,1,2025,CPI-9,10ºBPM/I,4ªCIA
80939,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,DEL.SEC.PIRACICABA PLANTÃO,PIRACICABA,AP9993,2025,2025-01-14,2025-01-13,18:17:00,,Via Pública,Via Pública,CENTRO,RUA PRAÇA JOSÉ BONIFÁCIO,1.0,-22.7245574,-47.6484682,01º D.P. PIRACICABA,DEINTER 9 - PIRACICABA,DEL.SEC.PIRACICABA,PIRACICABA,"tráfico drogas (Art.33, caput)",,TRÁFICO DE ENTORPECENTES,1,2025,CPI-9,10ºBPM/I,4ªCIA
